AID,TimeStamp
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 14:28:59
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 14:49:06
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 14:49:20
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 15:03:33
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 15:03:41
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 15:03:44
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 15:04:32
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 15:04:34
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 15:04:36
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 15:04:37
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 15:40:20
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 15:40:22
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 15:40:23
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 15:40:25
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 15:40:26
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 15:50:23
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 15:50:25
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 16:56:28
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 16:56:30
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 17:09:59
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 17:10:12
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 17:10:13
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 17:16:49
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 17:16:51
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 17:16:52
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 17:17:08
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 17:17:11
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 17:17:13
aid-b8:27:eb:a8:d8:fb-91,2021-06-19 17:17:15
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 17:26:56
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 17:27:08
aid-b8:27:eb:a8:d8:fb-2,2021-06-19 17:27:09
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 17:27:16
aid-b8:27:eb:a8:d8:fb-3,2021-06-19 17:30:19
aid-b8:27:eb:a8:d8:fb-3,2021-06-20 22:35:59
aid-b8:27:eb:a8:d8:fb-2,2021-06-20 22:36:02
aid-b8:27:eb:a8:d8:fb-92,2021-06-20 22:36:03
aid-b8:27:eb:a8:d8:fb-3,2021-06-20 22:36:37
aid-b8:27:eb:a8:d8:fb-92,2021-06-20 22:36:40
aid-b8:27:eb:a8:d8:fb-3,2021-06-21 06:30:45
aid-b8:27:eb:a8:d8:fb-3,2021-06-22 06:32:30
aid-b8:27:eb:a8:d8:fb-3,2021-06-23 06:45:30
aid-b8:27:eb:a8:d8:fb-3,2021-06-24 06:30:21
aid-b8:27:eb:a8:d8:fb-3,2021-06-25 06:30:19
aid-b8:27:eb:a8:d8:fb-3,2021-06-26 06:50:29
aid-b8:27:eb:a8:d8:fb-92,2021-06-19 17:27:16
aid-b8:27:eb:a8:d8:fb-92,2021-06-20 17:00:00
aid-b8:27:eb:a8:d8:fb-92,2021-06-21 17:15:54
aid-b8:27:eb:a8:d8:fb-92,2021-06-22 16:55:16
aid-b8:27:eb:a8:d8:fb-92,2021-06-23 17:05:11
aid-b8:27:eb:a8:d8:fb-92,2021-06-24 17:55:16
aid-b8:27:eb:a8:d8:fb-92,2021-06-25 17:21:06
aid-b8:27:eb:a8:d8:fb-92,2021-06-26 17:22:55
aid-b8:27:eb:a8:d8:fb-2,2021-06-20 21:24:30
aid-b8:27:eb:a8:d8:fb-2,2021-06-21 21:02:39
aid-b8:27:eb:a8:d8:fb-2,2021-06-22 21:00:02
aid-b8:27:eb:a8:d8:fb-2,2021-06-23 21:33:03
aid-b8:27:eb:a8:d8:fb-2,2021-06-24 21:32:30
aid-b8:27:eb:a8:d8:fb-2,2021-06-25 21:24:55
aid-b8:27:eb:a8:d8:fb-2,2021-06-26 21:40:30
